	Carnivore	Col	Herbivore	Row
0	0	0	0	0
1	0	1	0	0
2	0	2	0	0
3	0	3	0	0
4	0	4	0	0
5	0	5	0	0
6	0	6	0	0
7	0	7	0	0
8	0	8	0	0
9	0	9	0	0
10	0	10	0	0
11	0	11	0	0
12	0	12	0	0
13	0	13	0	0
14	0	14	0	0
15	0	15	0	0
16	0	16	0	0
17	0	17	0	0
18	0	18	0	0
19	0	19	0	0
20	0	20	0	0
21	0	0	0	1
22	0	1	0	1
23	0	2	0	1
24	0	3	0	1
25	0	4	0	1
26	0	5	0	1
27	0	6	0	1
28	0	7	0	1
29	0	8	0	1
30	0	9	0	1
31	0	10	0	1
32	0	11	0	1
33	0	12	0	1
34	0	13	0	1
35	0	14	0	1
36	0	15	0	1
37	0	16	0	1
38	0	17	0	1
39	0	18	0	1
40	0	19	0	1
41	0	20	0	1
42	0	0	0	2
43	0	1	0	2
44	0	2	0	2
45	0	3	0	2
46	0	4	0	2
47	0	5	0	2
48	0	6	0	2
49	0	7	0	2
50	0	8	0	2
51	0	9	0	2
52	0	10	0	2
53	0	11	0	2
54	0	12	0	2
55	0	13	0	2
56	0	14	0	2
57	0	15	0	2
58	0	16	0	2
59	0	17	0	2
60	0	18	0	2
61	0	19	0	2
62	0	20	0	2
63	0	0	0	3
64	0	1	0	3
65	0	2	0	3
66	0	3	0	3
67	0	4	0	3
68	0	5	0	3
69	0	6	0	3
70	0	7	0	3
71	0	8	0	3
72	0	9	0	3
73	0	10	0	3
74	0	11	0	3
75	0	12	0	3
76	0	13	0	3
77	0	14	0	3
78	0	15	0	3
79	0	16	0	3
80	0	17	0	3
81	0	18	0	3
82	0	19	0	3
83	0	20	0	3
84	0	0	0	4
85	0	1	0	4
86	0	2	0	4
87	0	3	0	4
88	0	4	0	4
89	0	5	0	4
90	0	6	0	4
91	0	7	0	4
92	0	8	0	4
93	0	9	0	4
94	0	10	0	4
95	0	11	1	4
96	0	12	0	4
97	0	13	1	4
98	0	14	0	4
99	0	15	0	4
100	0	16	0	4
101	0	17	0	4
102	0	18	0	4
103	0	19	0	4
104	0	20	0	4
105	0	0	0	5
106	0	1	0	5
107	0	2	0	5
108	0	3	0	5
109	0	4	0	5
110	0	5	0	5
111	0	6	1	5
112	0	7	0	5
113	0	8	0	5
114	0	9	0	5
115	0	10	0	5
116	0	11	4	5
117	0	12	1	5
118	0	13	0	5
119	0	14	0	5
120	0	15	0	5
121	0	16	0	5
122	0	17	0	5
123	0	18	0	5
124	0	19	0	5
125	0	20	0	5
126	0	0	0	6
127	0	1	0	6
128	0	2	0	6
129	0	3	0	6
130	0	4	0	6
131	0	5	0	6
132	0	6	0	6
133	0	7	0	6
134	0	8	0	6
135	0	9	0	6
136	0	10	0	6
137	0	11	4	6
138	0	12	3	6
139	0	13	2	6
140	0	14	0	6
141	0	15	0	6
142	0	16	0	6
143	0	17	0	6
144	0	18	0	6
145	0	19	0	6
146	0	20	0	6
147	0	0	0	7
148	0	1	0	7
149	0	2	0	7
150	0	3	0	7
151	0	4	0	7
152	0	5	0	7
153	0	6	1	7
154	0	7	0	7
155	0	8	2	7
156	0	9	0	7
157	0	10	0	7
158	0	11	10	7
159	0	12	5	7
160	0	13	4	7
161	0	14	0	7
162	0	15	0	7
163	0	16	0	7
164	0	17	0	7
165	0	18	0	7
166	0	19	0	7
167	0	20	0	7
168	0	0	0	8
169	0	1	0	8
170	0	2	0	8
171	0	3	0	8
172	0	4	1	8
173	0	5	0	8
174	0	6	2	8
175	0	7	3	8
176	0	8	7	8
177	0	9	0	8
178	0	10	0	8
179	0	11	13	8
180	0	12	10	8
181	0	13	4	8
182	0	14	5	8
183	0	15	1	8
184	0	16	1	8
185	0	17	0	8
186	0	18	0	8
187	0	19	0	8
188	0	20	0	8
189	0	0	0	9
190	0	1	0	9
191	0	2	0	9
192	0	3	0	9
193	0	4	0	9
194	0	5	2	9
195	0	6	5	9
196	0	7	8	9
197	0	8	15	9
198	0	9	0	9
199	0	10	0	9
200	0	11	15	9
201	0	12	14	9
202	0	13	12	9
203	0	14	5	9
204	0	15	0	9
205	0	16	0	9
206	0	17	0	9
207	0	18	0	9
208	0	19	0	9
209	0	20	0	9
210	0	0	0	10
211	0	1	0	10
212	0	2	0	10
213	0	3	0	10
214	0	4	0	10
215	0	5	2	10
216	0	6	8	10
217	0	7	12	10
218	0	8	24	10
219	0	9	25	10
220	0	10	24	10
221	0	11	23	10
222	0	12	15	10
223	0	13	16	10
224	0	14	0	10
225	0	15	0	10
226	0	16	0	10
227	0	17	0	10
228	0	18	0	10
229	0	19	0	10
230	0	20	0	10
231	0	0	0	11
232	0	1	0	11
233	0	2	0	11
234	0	3	0	11
235	0	4	1	11
236	0	5	3	11
237	0	6	5	11
238	0	7	14	11
239	0	8	24	11
240	0	9	26	11
241	0	10	17	11
242	0	11	18	11
243	0	12	16	11
244	0	13	13	11
245	0	14	0	11
246	0	15	0	11
247	0	16	0	11
248	0	17	0	11
249	0	18	0	11
250	0	19	0	11
251	0	20	0	11
252	0	0	0	12
253	0	1	0	12
254	0	2	0	12
255	0	3	0	12
256	0	4	0	12
257	0	5	0	12
258	0	6	0	12
259	0	7	0	12
260	0	8	0	12
261	0	9	0	12
262	0	10	0	12
263	0	11	0	12
264	0	12	0	12
265	0	13	0	12
266	0	14	0	12
267	0	15	0	12
268	0	16	0	12
269	0	17	0	12
270	0	18	0	12
271	0	19	0	12
272	0	20	0	12
